EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,4,231,21500332,,,0:52,2,5,0,0,101181,Jose Calderon,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Calderon REBOUND (Off:0 Def:1),11:39 PM
5,2,232,21500332,,,0:36,2,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Porzingis 3' Layup,11:39 PM
0,4,233,21500332,McLemore REBOUND (Off:0 Def:1),,0:35,2,4,0,0,203463,Ben McLemore,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:39 PM
5,2,234,21500332,MISS Gay 3' Layup,,0:30,2,4,0,5,200752,Rudy Gay,SAC,Sacramento,1610612758,Kings,0,,,,,,2546,Carmelo Anthony,NYK,New York,1610612752,Knicks,,,Anthony BLOCK (1 BLK),11:39 PM
0,4,235,21500332,,,0:28,2,5,0,0,202498,Lance Thomas,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Thomas REBOUND (Off:0 Def:2),11:39 PM
5,2,236,21500332,,,0:23,2,5,0,0,204001,Kristaps Porzingis,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,MISS Porzingis 2' Layup,11:39 PM
0,4,237,21500332,Koufos REBOUND (Off:0 Def:2),,0:23,2,4,0,0,201585,Kosta Koufos,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:39 PM
1,2,238,21500332,MISS Rondo 22' Jump Shot,,0:00,2,4,0,0,200765,Rajon Rondo,SAC,Sacramento,1610612758,Kings,0,,,,,,0,,,,,,,,,11:40 PM
0,4,239,21500332,,,0:00,2,5,0,0,201167,Arron Afflalo,NYK,New York,1610612752,Knicks,0,,,,,,0,,,,,,,,Afflalo REBOUND (Off:0 Def:2),11:40 PM
0,13,240,21500332,,,0:00,2,0,0,0,0,,,,,,0,,,,,,0,,,,,,39 - 46,7,,11:40 PM
