EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
3,6,242,21500284,Neal L.B.FOUL (P2.PN) (N.Buchert),,0:02,2,4,5,1,202390,Gary Neal,WAS,Washington,1610612764,Wizards,200782,PJ Tucker,PHX,Phoenix,1610612756,Suns,0,,,,,,,,,8:02 PM
2,9,244,21500284,,,0:02,2,3,0,0,1610612756,,,,,,0,,,,,,0,,,,,,,,Suns Timeout: Short (Reg.2 Short 1),8:03 PM
0,8,245,21500284,SUB: Hollins FOR Dudley,,0:02,2,4,4,0,201162,Jared Dudley,WAS,Washington,1610612764,Wizards,200797,Ryan Hollins,WAS,Washington,1610612764,Wizards,0,,,,,,,,,8:03 PM
0,13,247,21500284,,,0:00,2,0,0,0,0,,,,,,0,,,,,,0,,,,,,60 - 51,-9,,8:04 PM
0,12,251,21500284,,,12:00,3,0,0,0,0,,,,,,0,,,,,,0,,,,,,60 - 51,-9,,8:20 PM
5,2,252,21500284,MISS Beal 3' Layup,,11:43,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:20 PM
0,4,253,21500284,Beal REBOUND (Off:1 Def:3),,11:42,3,4,0,0,203078,Bradley Beal,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:20 PM
1,2,254,21500284,MISS Wall 24' 3PT Jump Shot,,11:31,3,4,0,0,202322,John Wall,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:21 PM
0,4,255,21500284,Porter Jr. REBOUND (Off:3 Def:1),,11:29,3,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,,,,8:21 PM
5,1,256,21500284,Porter Jr. 2' Layup (10 PTS),,11:26,3,4,0,0,203490,Otto Porter,WAS,Washington,1610612764,Wizards,0,,,,,,0,,,,,,60 - 53,-7,,8:21 PM
1,2,258,21500284,,,11:01,3,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Knight 12' Jump Shot,8:21 PM
0,4,259,21500284,,,11:00,3,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Knight REBOUND (Off:1 Def:3),8:21 PM
45,2,264,21500284,,,10:59,3,5,0,0,202688,Brandon Knight,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,MISS Knight 12' Jump Shot,8:21 PM
0,4,282,21500284,,,10:57,3,5,0,0,203458,Alex Len,PHX,Phoenix,1610612756,Suns,0,,,,,,0,,,,,,,,Len REBOUND (Off:1 Def:1),8:21 PM
